성별,연령대,기간,카테고리,브랜드명,상품명,정상가,할인가,할인율(%),상품URL,이미지URL
남성,30-34세,1주,전체,유니온블루,[V2] CASHMERE WOOL CREWNECK KNIT [DARK NAVY],138000,117300,15,https://www.musinsa.com/products/5699933,https://image.msscdn.net/thumbnails/images/goods_img/20251107/5699933/5699933_17629265319184_500.jpg?w=780
남성,30-34세,1주,전체,언탭트 스튜디오,2WAY 에센셜 푸퍼 베이직 헤비 숏패딩 2Color,99800,69860,30,https://www.musinsa.com/products/4541364,https://image.msscdn.net/thumbnails/images/goods_img/20241021/4541364/4541364_17297550419602_500.jpg?w=780
남성,30-34세,1주,전체,코데즈컴바인 이너웨어,[액티브에어] 에센셜 드로즈 3PACK,72000,36000,50,https://www.musinsa.com/products/4836987,https://image.msscdn.net/thumbnails/images/goods_img/20250226/4836987/4836987_17405565770324_500.jpg?w=780
남성,30-34세,1주,전체,제이엘브,심볼 로고 풋볼 저지,98000,58000,41,https://www.musinsa.com/products/4349548,https://image.msscdn.net/thumbnails/images/goods_img/20240820/4349548/4349548_17242015035083_500.jpg?w=780
남성,30-34세,1주,전체,비슬로우,OVERSIZED CASHMERE BALMACAAN COAT MELANGE DARK OLIVE,389000,330650,15,https://www.musinsa.com/products/3563309,https://image.msscdn.net/thumbnails/images/goods_img/20230915/3563309/3563309_17272257905638_500.jpg?w=780
남성,30-34세,1주,전체,무신사 스탠다드,데일리 푸퍼 숏 패딩 재킷 [라이트 그레이],69900,62290,11,https://www.musinsa.com/products/3378515,https://image.msscdn.net/thumbnails/images/goods_img/20230622/3378515/3378515_16965750201812_500.jpg?w=780
남성,30-34세,1주,전체,토리든,[2종세트] 다이브인 저분자 히알루론산 세럼 50ml+40ml (+다이브인 마스크 1매),42000,29400,30,https://www.musinsa.com/products/2959816,https://image.msscdn.net/thumbnails/images/goods_img/20221124/2959816/2959816_17604284843021_500.jpg?w=780
남성,30-34세,1주,전체,혼다 모터사이클,H-Tech Storm Shield Parka Light Gray,259000,246050,5,https://www.musinsa.com/products/5570910,https://image.msscdn.net/thumbnails/images/goods_img/20251005/5570910/5570910_17612739177672_500.jpg?w=780
남성,30-34세,1주,전체,스웨이드,TWO TUCK LONG PANTS [GRAY],69000,48300,30,https://www.musinsa.com/products/4067457,https://image.msscdn.net/thumbnails/images/goods_img/20240418/4067457/4067457_17134293376311_500.jpg?w=780
남성,30-34세,1주,전체,건지 울른스,코튼 나그랑 크루넥 스웨터 컬렉션,138000,96600,30,https://www.musinsa.com/products/4445975,https://image.msscdn.net/thumbnails/images/goods_img/20240919/4445975/4445975_17564449470742_500.jpg?w=780
남성,30-34세,1주,전체,식스핏,[NERDKING X SIXFT] NERDY CHUNKY COWHIDE DERBY (BLACK),119000,94000,21,https://www.musinsa.com/products/5476402,https://image.msscdn.net/thumbnails/images/goods_img/20250917/5476402/5476402_17581718235868_500.jpg?w=780
남성,30-34세,1주,전체,효지,25 FW 소프트 터치 모크넥  크롭 니트 (4컬러),68000,44000,35,https://www.musinsa.com/products/5717215,https://image.msscdn.net/thumbnails/images/goods_img/20251111/5717215/5717215_17639509088966_500.jpg?w=780
남성,30-34세,1주,전체,효지,25 FW 워셔블 에센셜 라운드 크롭 니트 가디건 (7컬러),75000,55000,27,https://www.musinsa.com/products/5328219,https://image.msscdn.net/thumbnails/images/goods_img/20250817/5328219/5328219_17582712167732_500.jpg?w=780
